facility,confirmed,presumed,total,name,formatted_address,county,lat,lng,place_id,results
SPRING CREEK REHABILITATION & NURSING CARE CENTER,2,11,13,Spring Creek Rehabilitation and Nursing Care Center,"660 Louisiana Ave, Brooklyn, NY 11239, United States",Kings,40.64603899999999,-73.885008,ChIJGeAGjh5dwokROFr575qmd6A,1
THE CHATEAU AT BROOKLYN REHABILITATION AND NURSING,3,4,7,The Chateau at Brooklyn Rehabilitation & Nursing Center,"3457 Nostrand Ave, Brooklyn, NY 11229, United States",Kings,40.5996822,-73.94108729999999,ChIJm1goQ4NEwokRNGkF6FxGLss,1
THE HERITAGE REHABILITATION AND HEALTH CARE CENTER,0,1,1,The Heritage Rehabilitation & Health Care Center,"5606 15th Ave, Brooklyn, NY 11219, United States",Kings,40.6284056,-73.9922313,ChIJq6q6hC9FwokRQGHo5nZdKAU,1
THE PHOENIX REHABILITATION AND NURSING CENTER,23,37,60,The Phoenix Rehabilitation & Nursing Center,"140 St Edwards St, Brooklyn, NY 11201, United States",Kings,40.6925532,-73.9779065,ChIJsSRdLbRbwokRoVNdECbu_rQ,1
"AVON NURSING HOME, LLC",3,0,3,Avon Nursing Facility,"215 Clinton St, Avon, NY 14414, United States",Livingston,42.9067768,-77.73743019999999,ChIJuaKkwq5E0YkRrcL436T-sQg,1
AARON MANOR REHABILITATION AND NURSING CENTER,3,0,3,Aaron Manor,"100 St Camillus Way, Fairport, NY 14450, United States",Monroe,43.1272133,-77.4464019,ChIJu6lJX-3M1okRZIgRb6OmtQs,1
BRIGHTON MANOR,2,1,3,Brighton Manor,"989 Blossom Rd, Rochester, NY 14610, United States",Monroe,43.14884319999999,-77.5449302,ChIJS-6FH2LK1okR5gHFe4AYdfI,1
CREEKVIEW NURSING AND REHAB CENTER,3,0,3,Creekview Nursing and Rehabilitation,"525 Beahan Rd, Rochester, NY 14624, United States",Monroe,43.128586,-77.68942899999999,ChIJm5hIly2z1okREGPVLMLRN3M,1
EDNA TINA WILSON LIVING CENTER,5,0,5,Edna Tina Wilson Living Center,"700 Island Cottage Rd, Rochester, NY 14612, United States",Monroe,43.2660637,-77.6621244,ChIJB9JR1a-w1okRIYOoiH8CfyU,1
HILL HAVEN NURSING HOME,2,0,2,Hill Haven,"1550 Empire Blvd, Webster, NY 14580, United States",Monroe,43.1796185,-77.508074,ChIJ9cqJQNbL1okR4awwExaUm84,1
KIRKHAVEN,16,4,20,Kirkhaven Transitional Care,"254 Alexander St, Rochester, NY 14607, United States",Monroe,43.151501,-77.59471309999999,ChIJqaQSaAi11okRUeAk9RGx0MY,1
ST ANNS COMMUNITY,4,0,4,St Ann's Community Day Care Center,"110 16th Ave, Newark, NJ 07103, United States",Monroe,40.7349114,-74.1995113,ChIJWcdSXUNTwokRW-5GUprb7yg,1
ST JOHNS HEALTH CARE CORPORATION,17,0,17,Genesis Health Care Corporation,"132 Evergreen Rd, Edison, NJ 08837, United States",Monroe,40.55477459999999,-74.3306838,ChIJ44hiXWm2w4kR0Eq9yezOxgM,1
"THE BRIGHTONIAN, INC",9,0,9,The Brightonian,"1919 Elmwood Ave, Rochester, NY 14620, United States",Monroe,43.1250206,-77.58631729999999,ChIJTwbPQTi11okRMKHUaX-PpoU,1
THE BROOK AT HIGH FALLS NURSING HOME AND REHABILITATION,2,0,2,Brook at High Falls,"2150 St Paul St, Rochester, NY 14621, United States",Monroe,43.1955242,-77.61704639999999,ChIJb8b38IK21okRG0AjcwpGbxA,1
THE FRIENDLY HOME,3,0,3,Friendly Senior Living,"3156 East Ave, Rochester, NY 14618, United States",Monroe,43.1273231,-77.5256157,ChIJSe2sR93K1okRsaOk5dws0bE,1
THE HURLBUT,7,6,13,The Hurlbut,"1177 E Henrietta Rd, Rochester, NY 14623, United States",Monroe,43.0970998,-77.61439419999999,ChIJ54EHuhhL0YkRpYulsf3y9Eo,1
"THE SHORE WINDS, LLC",4,0,4,The Shore Winds Nursing Home,"425 Beach Ave, Rochester, NY 14612, United States",Monroe,43.2611436,-77.61554819999999,ChIJty3NOXq31okRgVG0bpBIWQE,1
UNITY LIVING CENTER,1,0,1,Unity Living Center,"89 Genesee St, Rochester, NY 14611, United States",Monroe,43.1484359,-77.637175,ChIJwb5JHY601okRyopslBlc-mI,1
ST JOHNSVILLE REHABILITATION AND NURSING CENTER,0,1,1,St Johnsville Nursing Center Inc,"7 Timmerman Ave, St Johnsville, NY 13452, United States",Montgomery,42.9995825,-74.6882147,ChIJAdPltEy53okROKFrbpO2mb0,1
A HOLLY PATTERSON EXTENDED CARE FACILITY,10,3,13,A Holly Patterson Extened Care Facility,"875 Jerusalem Ave, Uniondale, NY 11553, United States",Nassau,40.7003822,-73.5830764,ChIJvUT3BQV9wokR11vaJZRqLbs,1
BEACH TERRACE CARE CENTER,2,0,2,Beach Terrace Care Center,"640 W Broadway, Long Beach, NY 11561, United States",Nassau,40.5841897,-73.6826777,ChIJmWcU441vwokRhne3R0C8HW4,1
BELAIR CARE CENTER INC,5,0,5,Belair Nursing and Rehabilitation Center,"2478 Jerusalem Ave, North Bellmore, NY 11710, United States",Nassau,40.6906297,-73.5400772,ChIJyfDXCop-wokRnsETMqjDrgo,1
CENTRAL ISLAND HEALTHCARE,4,21,25,Central Island Healthcare,"825 Old Country Rd, Plainview, NY 11803, United States",Nassau,40.7737427,-73.47985419999999,ChIJQxieVcSBwokRw8ex8akJ174,1
COLD SPRING HILLS CENTER FOR NURSING AND REHABILITATION,13,12,25,Cold Spring Hills Center for Nursing & Rehabilitation,"378 Syosset-Woodbury Rd, Woodbury, NY 11797, United States",Nassau,40.8234162,-73.4717438,ChIJO_i_-naCwokRgW704K18byw,1
DALEVIEW CARE CENTER,1,3,4,Daleview Care Center,"574 Fulton St, Farmingdale, NY 11735, United States",Nassau,40.7286183,-73.44922369999999,ChIJbaZlGroq6IkROfZLkQvxYVg,1
EMERGE NURSING AND REHABILITATION AT GLEN COVE,7,1,8,Emerge Nursing and Rehabilitation At Glen Cove,"2 Medical Plaza, Glen Cove, NY 11542, United States",Nassau,40.874075,-73.621817,ChIJP4DkGhGFwokRXksyTT9K1us,1
"EXCEL AT WOODBURY FOR REHABILITATION AND NURSING, LLC",22,5,27,Excel at Woodbury for Rehabilitation and Nursing,"8533 Jericho Turnpike, Woodbury, NY 11797, United States",Nassau,40.8190957,-73.4577008,ChIJ5xVduN0p6IkRC0mjZyZR_A8,1
FULTON COMMONS CARE CENTER INC,5,35,40,"Fulton Commons Care Center, Inc.","60 Merrick Ave, East Meadow, NY 11554, United States",Nassau,40.7208896,-73.57800879999999,ChIJH4SJ7Ot9wokRKtfJ4wFzA0s,1
GARDEN CARE CENTER,15,0,15,Gardens Care & Rehabilitation Center (Windsor Gardens),"140 Park Ave, East Orange, NJ 07017, United States",Nassau,40.7640829,-74.1987825,ChIJoTZkFr9UwokRpWzBSN8U6dE,1
GLEN COVE CENTER FOR NURSING AND REHABILITATION,10,1,11,Glen Cove Center for Nursing & Rehabilitation,"6 Medical Plaza, Glen Cove, NY 11542, United States",Nassau,40.8745127,-73.6221253,ChIJIZTEGhGFwokRldOh8lwlRf0,1
GLENGARIFF REHABILITATION AND HEALTHCARE CENTER,2,19,21,Glengariff Rehabilitation and Healthcare Center,"141 Dosoris Ln, Glen Cove, NY 11542, United States",Nassau,40.8826743,-73.6362891,ChIJEx8Ds2qFwokRSGdOL7C8YXY,1
GRANDELL REHABILITATION AND NURSING CENTER,3,5,8,Grandell Rehabilitation and Nursing Center,"645 W Broadway, Long Beach, NY 11561, United States",Nassau,40.584784,-73.682609,ChIJqbXr3Y1vwokR2j389dhV9II,1
HEMPSTEAD PARK NURSING HOME,2,10,12,Hempstead Park Nursing Home,"800 Front St, Hempstead, NY 11550, United States",Nassau,40.70887159999999,-73.6026086,ChIJQ_ke8qh9wokRY1pmJ0iKQcw,1
HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,21,0,21,Highfield Gardens Care Center,"199 Community Dr E, Great Neck, NY 11021, United States",Nassau,40.7818493,-73.7044595,ChIJMTguS7KJwokR4KNkpnUb5k8,1
LONG BEACH NURSING AND REHABILITATION CENTER,12,1,13,Long Beach Nursing and Rehabilitation Center,"375 E Bay Dr, Long Beach, NY 11561, United States",Nassau,40.5943658,-73.6534993,ChIJrzWDUVNlwokRrh6pKAEy3DM,1
LYNBROOK RESTORATIVE THERAPY AND NURSING,8,0,8,Lynbrook Restorative Therapy and Nursing,"243 Atlantic Ave, Lynbrook, NY 11563, United States",Nassau,40.6498729,-73.6677427,ChIJ6fNkmsdkwokR1UvqBpzOY40,1
MAYFAIR CARE CENTER,2,2,4,Mayfair Care Center Inc,"100 Baldwin Rd, Hempstead, NY 11550, United States",Nassau,40.698184,-73.6163613,ChIJz6pNl_x8wokRMMsDZaQU3Nw,1
"MEADOWBROOK CARE CENTER, INC",14,16,30,Meadowbrook Care Center,"320 W Merrick Rd, Freeport, NY 11520, United States",Nassau,40.65253999999999,-73.59447,ChIJzwiVfo97wokRLbjyNQ7Anuc,1
NASSAU REHABILITATION & NURSING CENTER,0,32,32,Nassau Rehabilitation & Nursing Center,"1 Greenwich St, Hempstead, NY 11550, United States",Nassau,40.704355,-73.621713,ChIJo8jimB19wokRx4-t3jQuApU,2
NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION,1,0,1,Orzac Center for Rehabilitation,"900 Franklin Ave, Valley Stream, NY 11580, United States",Nassau,40.681267,-73.6865468,ChIJVYEPBmVjwokRZIr3Lx2kF4M,1
NORTHWELL HEALTH STERN FAMILY CENTER FOR,3,0,3,Northwell Health Stern Family Center for Rehabilitation,"330 Community Dr, Manhasset, NY 11030, United States",Nassau,40.7727415,-73.7003982,ChIJuYvpTTWIwokRjA1ytDGRTDE,1
OCEANSIDE CARE CENTER INC,7,0,7,Oceanside Care Center,"2914 Lincoln Ave, Oceanside, NY 11572, United States",Nassau,40.640271,-73.6424755,ChIJVXqgmzB7wokRX2h5-KVzwbo,1
PARK AVENUE EXTENDED CARE FACILITY,3,11,14,Park Avenue Extended Care,"425 National Blvd, Long Beach, NY 11561, United States",Nassau,40.5897345,-73.6672794,ChIJqz4Yv_dvwokRka6bvLpyI8A,1
"PARKVIEW CARE AND REHABILITATION CENTER, INC.",1,11,12,Parkview Care & Rehab Center,"5353 Merrick Rd, Massapequa, NY 11758, United States",Nassau,40.668132,-73.43902299999999,ChIJYVfx46LV6YkRdW9cx57lrgQ,1
"ROCKVILLE SKILLED NURSING & REHABILITATION CENTER, LLC",0,1,1,Rockville Skilled Nursing and Rehabilitation Center,"50 Maine Ave, Rockville Centre, NY 11570, United States",Nassau,40.6637314,-73.65074,ChIJvYMxiFR7wokR_XaMtpunork,1
SANDS POINT CENTER FOR HEALTH AND REHABILITATION,10,2,12,Sands Point Center for Health & Rehabilitation,"1440 Port Washington Blvd, Port Washington, NY 11050, United States",Nassau,40.8437276,-73.690516,ChIJVdKPHyWPwokRg6rk5r19CZU,1
SOUTH SHORE REHABILITATION AND NURSING CENTER,3,3,6,South Shore Rehabilitation and Nursing Center,"275 W Merrick Rd, Freeport, NY 11520, United States",Nassau,40.6519017,-73.5919397,ChIJZ72SUYd7wokRDINzyCppPBY,1
SUNHARBOR MANOR,26,10,36,Sunharbor Manor,"255 Warner Ave, Roslyn Heights, NY 11577, United States",Nassau,40.792551,-73.645743,ChIJe1l8ky6GwokREqKEf5SnUY4,1
THE AMSTERDAM AT HARBORSIDE,2,0,2,The Amsterdam at Harborside,"300 E Overlook, Port Washington, NY 11050, United States",Nassau,40.827343,-73.66449899999999,ChIJ-wChqrKIwokRFkv93kc-VIg,1
THE FIVE TOWNS PREMIER REHABILITATION & NURSING CENTER,6,2,8,The Five Towns Premier Nursing Home and Rehabilitation Center,"1050 Central Ave, Woodmere, NY 11598, United States",Nassau,40.6323204,-73.7085647,ChIJB7BQF6xlwokRZ2IJp_OhXEM,1
THE GRAND PAVILION FOR REHAB & NURSING AT ROCKVILLE,5,13,18,The Grand Pavilion For Rehabilitation And Nursing At Rockville Centre,"41 Maine Ave, Rockville Centre, NY 11570, United States",Nassau,40.6643557,-73.6506777,ChIJvYnri1R7wokR_h_oS1XqClw,1
THE GRAND REHABILITATION AND NURSING AT GREAT NECK,18,9,27,The Grand Rehabilitation and Nursing at Great Neck,"15 St Pauls Pl, Great Neck, NY 11021, United States",Nassau,40.788836,-73.7221528,ChIJHdnJ9aKJwokR4JKhvdtLEP0,1
THE GRAND REHABILITATION AND NURSING AT SOUTH POINT,1,0,1,The Grand Rehabilitation and Nursing at South Point,"1 Long Beach Rd, Island Park, NY 11558, United States",Nassau,40.5981432,-73.656831,ChIJObW2YVJlwokRV-6JZYi48EU,1
TOWNHOUSE CENTER FOR REHABILITATION & NURSING,8,8,16,Townhouse Center for Rehabilitation & Nursing,"755 Hempstead Turnpike, Uniondale, NY 11553, United States",Nassau,40.7135356,-73.6066773,ChIJETip1Ql9wokRLgbNvijSRIc,1
WHITE OAKS REHABILITATION AND NURSING CENTER,30,0,30,White Oaks Rehabilitation and Nursing Center,"8565 Jericho Turnpike, Woodbury, NY 11797, United States",Nassau,40.8206107,-73.4575223,ChIJs59OW9wp6IkRbAR9zPoLkgg,1
AMSTERDAM NURSING HOME CORP (1992),11,45,56,Amsterdam Nursing Home,"1060 Amsterdam Ave, New York, NY 10025, United States",New York,40.804668,-73.96331289999999,ChIJq82vWjz2wokRlhQFG0D_Rdk,1
COLER REHABILITATION AND NURSING CARE CENTER,11,1,12,NYC Health + Hospitals/Coler,"900 Main St, New York, NY 10044, United States",New York,40.770242,-73.9422433,ChIJmZCWEbZYwokRCtfEq3MP_Kg,1
FORT TRYON CENTER FOR REHABILITATION AND NURSING,13,4,17,Fort Tryon Center for Rehabilitation and Nursing,"801 W 190th St, New York, NY 10040, United States",New York,40.857086,-73.93457699999999,ChIJHxLzyQL0wokRSPZk026_TpY,1
HARLEM CENTER FOR NURSING AND REHABILITATION,3,28,31,Harlem Center for Nursing and Rehabilitation,"30 W 138th St, New York, NY 10037, United States",New York,40.8151133,-73.9375136,ChIJg6mANXb2wokRgx_YKoaOZAM,1
ISABELLA GERIATRIC CENTER INC,23,44,67,Isabella Geriatric Center,"4026 Broadway, New York, NY 10032, United States",New York,40.8418097,-73.93899210000001,ChIJQ5w7M5z2wokREtEUXxDx0mU,1
MARY MANNING WALSH NURSING HOME CO INC,34,4,38,Mary Manning Walsh Home,"1339 York Ave, New York, NY 10021, United States",New York,40.7668853,-73.9542697,ChIJr8LZT8FYwokR7adG_TRvWUQ,2
NEW EAST SIDE NURSING HOME,2,1,3,New East Side Nursing Home,"25 Willett St, New York, NY 10002, United States",New York,40.7160803,-73.9828814,ChIJV5kb-H9ZwokRUxlFYOPAF0Q,1
NEW GOUVERNEUR HOSPITAL SNF,19,3,22,"NYC Health + Hospitals/Gotham Health, Gouverneur","227 Madison St, Manhattan, NY 10002, United States",New York,40.7129754,-73.987701,ChIJFb1OxitawokR2Wfi0loJ9ew,1
NORTHERN MANHATTAN REHABILITATION AND NURSING CENTER,11,12,23,Northern Manhattan Nursing,"116 E 125th St, New York, NY 10035, United States",New York,40.8045785,-73.9382868,ChIJm6ohRgr2wokRgZKQluWjva8,1
TERENCE CARDINAL COOKE HEALTH CARE CENTER,25,8,33,ArchCare at Terence Cardinal Cooke Health Care Center,"1249 5th Ave, New York, NY 10029, United States",New York,40.7936744,-73.9505386,ChIJQxjtfBz2wokRhwyV-7gR7Nc,1
"THE NEW JEWISH HOME, MANHATTAN",45,6,51,"The New Jewish Home, Manhattan Campus","120 W 106th St, New York, NY 10025, United States",New York,40.799485,-73.964047,ChIJY2yHCyP2wokRPnKb87zaENM,1
THE RIVERSIDE,42,17,59,The Riverside Premier Rehabilitation and Healing Center,"150 Riverside Dr, New York, NY 10024, United States",New York,40.790651,-73.97937139999999,ChIJGQtYF4FYwokRXMBWc_r5gF8,1
UPPER EAST SIDE REHABILITATION AND NURSING CENTER,6,3,9,Upper East Side Rehabilitation and Nursing Center,"211 E 79th St, New York, NY 10075, United States",New York,40.7743555,-73.95641789999999,ChIJUy1U9r5YwokRfWFeF9C_BpQ,1
VILLAGECARE REHABILITATION AND NURSING CENTER,2,0,2,VillageCare Rehabilitation & Nursing Center,"214 W Houston St, New York, NY 10014, United States",New York,40.7287165,-74.0043973,ChIJ151km5JZwokRrExspAj-GWI,1
ELDERWOOD AT LOCKPORT,1,0,1,Elderwood at Lockport,"104 Old Niagara Rd, Lockport, NY 14094, United States",Niagara,43.186221,-78.672775,ChIJbWYXvnZ_04kR2Kyoa-Lgndw,1
NEWFANE REHAB & HEALTH CARE CENTER,17,7,24,Newfane Rehabilitation and Health Center,"2709 Transit Rd, Newfane, NY 14108, United States",Niagara,43.2831796,-78.6962257,ChIJeY34qeaA1IkRrtqE_YeytuI,1
NIAGARA REHABILITATION AND NURSING CENTER,5,0,5,Niagara Rehabilitation-Nursing,"822 Cedar Ave, Niagara Falls, NY 14301, United States",Niagara,43.0975466,-79.0520062,ChIJZRFcXMNC04kRWVtTcH5w2Ks,1
OUR LADY OF PEACE NURSING CARE RESIDENCE,3,0,3,Our Lady of Peace,"5285 Lewiston Rd, Lewiston, NY 14092, United States",Niagara,43.1538937,-79.0361374,ChIJwZTdAJxd04kRutHsUiojSLE,1
SCHOELLKOPF HEALTH CENTER,2,0,2,Niagara Falls Memorial Medical Center - Schoellkopf Health Center,"621 10th St, Niagara Falls, NY 14301, United States",Niagara,43.0940117,-79.04987659999999,ChIJtariYcJC04kRzRCXSV52yvs,1
COLONIAL PARK REHABILITATION AND NURSING CENTER,0,1,1,Colonial Park Rehabilitation & Nursing Center,"950 Floyd Ave, Rome, NY 13440, United States",Oneida,43.217384,-75.43310249999999,ChIJt3vGR3UU2YkRROw36zUD96k,1
PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC,3,0,3,Presbyterian Homes & Services,"4290 Middle Settlement Rd, New Hartford, NY 13413, United States",Oneida,43.0722386,-75.34165170000001,ChIJe90O6P9p2YkRi0NDOTzrIHc,1
"ROME MEMORIAL HOSPITAL, INC - RHCF",7,1,8,Rome Memorial Hospital,"1500 N James St, Rome, NY 13440, United States",Oneida,43.2291895,-75.4427911,ChIJkx08ZfoT2YkRoZtzrjkKHDs,1
THE GRAND REHABILITATION AND NURSING AT ROME,8,7,15,The Grand Rehabilitation and Nursing at Rome,"801 N James St, Rome, NY 13440, United States",Oneida,43.2211952,-75.4509735,ChIJbwHbxuwT2YkRaA5HBrRYB8I,1
BISHOP REHABILITATION AND NURSING CENTER,11,0,11,Bishop Rehabilitation and Nursing,"918 James St, Syracuse, NY 13203, United States",Onondaga,43.0568523,-76.1373534,ChIJLf8bx9fz2YkR2GbajRP7cZo,1
CENTRAL PARK REHABILITATION AND NURSING CENTER,8,4,12,Central Park Rehabilitation and Nursing Center,"116 Martin Luther King E, Syracuse, NY 13205, United States",Onondaga,43.03238229999999,-76.1469966,ChIJl5NA2JHz2YkRBLEUSau-6YI,1
JEWISH HOME OF CENTRAL NEW YORK,1,0,1,Jewish Health & Rehab Center,"4101 E Genesee St, Syracuse, NY 13214, United States",Onondaga,43.0385523,-76.0756779,ChIJeco0_86M2YkR2ntpJgpkTmE,2
LORETTO HEALTH AND REHABILITATION CENTER,2,0,2,Loretto Health & Rehabilitation,"700 E Brighton Ave, Syracuse, NY 13205, United States",Onondaga,43.0053974,-76.136236,ChIJ60JfGGH02YkRXVfmVXCQBjE,1
ST CAMILLUS RESIDENTIAL HEALTH CARE FACILITY,3,0,3,St Camillus Center,"494 Elm St, Stamford, CT 06902, United States",Onondaga,41.0503711,-73.52642399999999,ChIJgTqFN9qhwokRehJvUiwZJlQ,1
"THE COTTAGES AT GARDEN GROVE, A SKILLED NURSING",1,0,1,The Cottages at Garden Grove,"5460 Meltzer Ct, Cicero, NY 13039, United States",Onondaga,43.1917903,-76.1352041,ChIJ0RSYdJ_r2YkRy-4fTbyAkY4,1
VAN DUYN CENTER FOR REHABILITATION AND NURSING,13,1,14,Van Duyn Center for Rehabilitation and Nursing,"5075 W Seneca Turnpike, Syracuse, NY 13215, United States",Onondaga,43.007753,-76.163461,ChIJZYXuURb02YkRl3H7Kfg5PNY,1
ELM MANOR NURSING AND REHABILITATION CENTER,1,,1,Elm Manor Nursing and Rehabilitation Center,"210 N Main St, Canandaigua, NY 14424, United States",Ontario,42.8939017,-77.287251,ChIJGy14wtUl0YkRiORbbnbd7IA,1
ONTARIO CENTER FOR REHABILITATION AND HEALTHCARE,4,0,4,Ontario Center for Rehabilitation and Nursing,"3062 County Complex Dr #9502, Canandaigua, NY 14424, United States",Ontario,42.8852613,-77.2132799,ChIJNYFhKJ8n0YkR1dMcw12G77s,1
CAMPBELL HALL REHABILITATION CENTER INC,5,1,6,Campbell Hall Health Center,"23 Kiernan Rd, Campbell Hall, NY 10916, United States",Orange,41.4543869,-74.28146,ChIJD3W5Fjorw4kR6NyUcNS-nKQ,1
GLEN ARDEN INC,1,1,2,Glen Arden Inc,"214 Harriman Dr, Goshen, NY 10924, United States",Orange,41.3848589,-74.3182775,ChIJWeocsawuw4kRsk6fkQLtW14,1
HIGHLAND REHABILITATION AND NURSING CENTER,8,3,11,Highland Rehabilitation & Nursing Center,"120 Highland Ave, Middletown, NY 10940, United States",Orange,41.45365779999999,-74.4180604,ChIJazIj6Y8yw4kRp2sBHpPo_ik,1
MIDDLETOWN PARK REHABILITATION & HEALTH CARE CENTER,8,0,8,Middletown Park Rehabilitation and Healthcare,"121 Dunning Rd, Middletown, NY 10940, United States",Orange,41.4513884,-74.3832444,ChIJBfiDQG0tw4kRZ-tnkQ_-2Ig,1
MONTGOMERY NURSING AND REHABILITATION CENTER,8,14,22,Montgomery Nursing Home,"2817 Albany Post Rd, Montgomery, NY 12549, United States",Orange,41.5454541,-74.2399594,ChIJpaVEOg3W3IkROJ9XwLe-LO4,1
SAPPHIRE NURSING AND REHAB AT GOSHEN,7,3,10,Sapphire Nursing and Rehabilitation at Goshen,"46 Harriman Dr, Goshen, NY 10924, United States",Orange,41.3863967,-74.32159709999999,ChIJXQKePcovw4kRs5TR9rAafaQ,1
SCHERVIER PAVILION,18,1,19,Schervier Pavilion,"22 Van Duzer Pl, Warwick, NY 10990, United States",Orange,41.2631023,-74.3593854,ChIJzcioiF8kw4kRaN1P4i4Dye4,1
ST. JOSEPHS PLACE,7,3,10,Saint Joseph Catholic Church,"767 Prospect St, Maplewood, NJ 07040, United States",Orange,40.7196174,-74.2704931,ChIJJUQ6clSsw4kR4GeSJnj7rXs,1
THE VALLEY VIEW CENTER FOR NURSING CARE AND,34,0,34,Valley View Center-Nursing Care,"2 Glenmere Cove Rd, Goshen, NY 10924, United States",Orange,41.35645179999999,-74.3661701,ChIJjdWTWKwvw4kR0l3UL60scIc,1
ORCHARD REHABILITATION & NURSING CENTER,1,,1,Orchard Rehabilitation and Nursing Center,"600 Bates Rd, Medina, NY 14103, United States",Orleans,43.2145591,-78.3715873,ChIJYQyGXuh11IkRR4yI3_uEo48,1
THE VILLAGES OF ORLEANS HEALTH AND REHABILITATION,18,0,18,Villages of Orleans,"14012 NY-31, Albion, NY 14411, United States",Orleans,43.2384834,-78.21544639999999,ChIJBzuo0OYL1IkR4yjcFSAd5QM,1
PUTNAM NURSING & REHABILITATION CENTER,13,0,13,Putnam Nursing & Rehabilitation Center,"404 Ludingtonville Rd, Holmes, NY 12531, United States",Putnam,41.4968023,-73.662267,ChIJZ_-lsNNP3YkRvMGz3jJDEng,1
PUTNAM RIDGE,3,0,3,Putnam Ridge,"46 Mount Ebo Road North, Brewster, NY 10509, United States",Putnam,41.4415853,-73.5712746,ChIJGZNPVP1T3YkRhRvz6wAY3HM,1
BEACH GARDENS REHAB AND NURSING CENTER,3,5,8,Beach Gardens Rehab & Nursing Center,"1711 Brookhaven Ave, Far Rockaway, NY 11691, United States",Queens,40.5986482,-73.7512272,ChIJQ4snhKtowokRjzDSuXsoT9U,1
BEACON REHABILITATION AND NURSING CENTER,5,7,12,Beacon Rehabilitation Nursing Center,"140 Beach 113th St, Rockaway Park, NY 11694, United States",Queens,40.5789008,-73.8333802,ChIJWQ_0SyxowokRfTvX82dqDl4,1
BEZALEL REHABILITATION AND NURSING CENTER,8,1,9,Bezalel Rehabilitation & Nursing Center,"29-38 Far Rockaway Blvd, Far Rockaway, NY 11691, United States",Queens,40.5986853,-73.7646553,ChIJC-tQTgtpwokRIK2zvi6EIlw,1
BRIDGE VIEW NURSING HOME,9,12,21,Bridge View Nursing Home,"143-10 20th Ave, Whitestone, NY 11357, United States",Queens,40.7813183,-73.82406139999999,ChIJYw9OVqOKwokRe_3OjfVA3Co,1
BROOKHAVEN REHABILITATION & HEALTH CARE CENTER LLC,1,6,7,Brookhaven Rehabilitation & Health Care Center,"250 Beach 17th St, Far Rockaway, NY 11691, United States",Queens,40.5963926,-73.75082979999999,ChIJQ-adXqxowokRTMJi2zim2nE,1
CARING FAMILY NURSING AND REHABILITATION CENTER,5,13,18,Caring Family Nursing & Rehabilitation Center,"22-41 New Haven Ave, Far Rockaway, NY 11691, United States",Queens,40.60085979999999,-73.75702489999999,ChIJBdNq-6howokRaDOQAq4cbW4,1
CHAPIN HOME FOR THE AGING,1,2,3,Chapin Home for the Aging,"165-01 Chapin Pkwy, Jamaica, NY 11432, United States",Queens,40.7145733,-73.80137739999999,ChIJ9UhcBORgwokRJl1v3_VybqQ,1
CLIFFSIDE REHABILITATION & RESIDENTIAL HEALTH CARE,17,0,17,Cliffside Rehabilitation & Residential Health Care Center,"119-19 Graham Ct, Flushing, NY 11354, United States",Queens,40.77536449999999,-73.8483194,ChIJlWd9Alb1wokRywi59QIHER0,1
CYPRESS GARDEN CENTER FOR NURSING AND REHABILITATION,4,4,8,Cypress Garden Center for Nursing and Rehabilitation,"139-66 35th Ave, Flushing, NY 11354, United States",Queens,40.7653948,-73.8253217,ChIJtdEfxBtgwokRYDc-1fp6xso,1
DRY HARBOR NURSING HOME,13,20,33,Dry Harbor Nursing Home & Rehabilitation Center,"61-35 Dry Harbor Rd, Middle Village, NY 11379, United States",Queens,40.726874,-73.871355,ChIJfR9Q1UVewokRSP9dHaAO04g,1
"ELMHURST CARE CENTER, INC",10,14,24,Elmhurst Care Center,"100-17 23rd Ave, Queens, NY 11369, United States",Queens,40.7689658,-73.87010029999999,ChIJLW6T841fwokRVtTx0xV6Ctc,1
FAIRVIEW NURSING CARE CENTER INC,7,5,12,Fairview Rehab & Nursing Home,"69-70 Grand Central Pkwy, Queens, NY 11375, United States",Queens,40.724664,-73.83824100000001,ChIJ18l7LYNgwokROMa4cKHASMY,1
FAR ROCKAWAY CENTER FOR REHABILITATION AND NURSING,2,0,2,Far Rockaway Center for Rehabilitation and Nursing,"13-11 Virginia St, Far Rockaway, NY 11691, United States",Queens,40.6100174,-73.74560079999999,ChIJP0HiBf1lwokRq_0X_kzEV-c,1
FOREST HILLS CARE CENTER,7,5,12,Forest Hills Care Center,"7144 Yellowstone Blvd, Forest Hills, NY 11375, United States",Queens,40.7216185,-73.85489419999999,ChIJAU-BozxewokR7nAcmGiZt7o,1
FOREST VIEW CENTER FOR REHABILITATION & NURSING,4,1,5,Forest View Center,"71-20 110th St, Forest Hills, NY 11375, United States",Queens,40.72181450000001,-73.8414306,ChIJb9y6j51gwokRfmNtB7XTFog,1
FRANKLIN CENTER FOR REHABILITATION AND NURSING,7,53,60,New Franklin Center for Rehabilitation and Nursing,"142-27 Franklin Ave, Flushing, NY 11355, United States",Queens,40.75705749999999,-73.8228652,ChIJz__knxZgwokRGpmoyW7xsbY,1
